index,Director,Followers,Handle,
5,Alfonso Cuarón,,@alfonsocuaron,14
31,Andrew Stanton,58289,@andrewstanton,14
46,Andy Muschietti,,,0
13,Anthony Russo,,@Russo_Brothers,15
32,Anthony Russo,104343,@Russo_Brothers,15
18,Bryan Singer,,,0
36,Byron Howard,29023,@ByronPHoward,13
2,Chris Buck,,,0
33,Chris Renaud,,,0
10,Clint Eastwood,,,0
21,Colin Trevorrow,,@colintrevorrow ? ,18
6,Dan Scanlon,,@MrDanScanlon,13
38,David Ayer,455168,@DavidAyerMovies,16
19,Don Hall,,,0
0,Francis Lawrence,,@Hibbits,8
11,Francis Lawrence,,@Hibbits,8
26,Francis Lawrence,42475,@Hibbits,8
30,Gareth Edwards,,,
39,Garth Jennings,,,
20,J.J. Abrams,,,
43,Jake Kasdan,,,
12,James Gunn,,@JamesGunn,
44,James Gunn,424913,@JamesGunn,
24,James Wan,,@creepypuppet ? ,
45,Jon Watts,21826,@jnwtts,
22,Joss Whedon,,@joss,
8,Justin Lin,,@justinlin,
25,Kyle Balda,,,
48,Kyle Balda,,,
16,Michael Bay,,@michaelbay,
42,Patty Jenkins,173485,@PattyJenks,
23,Pete Docter,,,
7,Peter Jackson,,,
15,Peter Jackson,,,
14,Phil Lord,,@philiplord,
3,Pierre Coffin,,,
40,Rian Johnson,901871,@rianjohnson,
27,Ridley Scott,,,
17,Robert Stromberg,,,
29,Sam Mendes,,,
9,Sam Raimi,,,
1,Shane Black,,@BonafideBlack,
47,Taika Waititi,362905,@TaikaWaititi,
35,Tim Miller,,,
4,Zack Snyder,,@ZackSnyder,
37,Zack Snyder,680566,@ZackSnyder,
49,Zack Snyder,,@ZackSnyder,
28,,,,
34,,,,
41,,,,
