,index,0,1,2
0,0,Francis Lawrence,,
1,1,Shane Black,,
2,2,Chris Buck, Jennifer Lee,
3,3,Pierre Coffin, Chris Renaud,
4,4,Zack Snyder,,
5,5,Alfonso Cuarón,,
6,6,Dan Scanlon,,
7,7,Peter Jackson,,
8,8,Justin Lin,,
9,9,Sam Raimi,,
10,10,Clint Eastwood,,
11,11,Francis Lawrence,,
12,12,James Gunn,,
13,13,Anthony Russo, Joe Russo,
14,14,Phil Lord, Christopher Miller,
15,15,Peter Jackson,,
16,16,Michael Bay,,
17,17,Robert Stromberg,,
18,18,Bryan Singer,,
19,19,Don Hall, Chris Williams,
20,20,J.J. Abrams,,
21,21,Colin Trevorrow,,
22,22,Joss Whedon,,
23,23,Pete Docter, Ronnie Del Carmen(co-director),
24,24,James Wan,,
25,25,Kyle Balda, Pierre Coffin,
26,26,Francis Lawrence,,
27,27,Ridley Scott,,
28,28,,,
29,29,Sam Mendes,,
30,30,Gareth Edwards,,
31,31,Andrew Stanton, Angus MacLane(co-director),
32,32,Anthony Russo, Joe Russo,
33,33,Chris Renaud, Yarrow Cheney(co-director),
34,34,,,
35,35,Tim Miller,,
36,36,Byron Howard, Rich Moore, Jared Bush(co-director)
37,37,Zack Snyder,,
38,38,David Ayer,,
39,39,Garth Jennings, Christophe Lourdelet(co-director),
40,40,Rian Johnson,,
41,41,,,
42,42,Patty Jenkins,,
43,43,Jake Kasdan,,
44,44,James Gunn,,
45,45,Jon Watts,,
46,46,Andy Muschietti,,
47,47,Taika Waititi,,
48,48,Kyle Balda, Pierre Coffin, Eric Guillon(co-director)
49,49,Zack Snyder,,
