,Movie Title,View Count,Video Title,Like Count,Dislike Count,Comment Count
0,The Hunger Games: Catching Fire,12381395,The Hunger Games: Catching Fire Official Theatrical Trailer (2013) HD,51997,1385,9492
1,Iron Man 3,27612921,Iron Man 3 -- Official Trailer UK Marvel | HD,78148,3795,7082
2,Frozen,34258713,Disney's Frozen Official Trailer,54146,8665,7458
3,Despicable Me 2,7725044,Despicable Me 2 Official Trailer #3 (2013) - Steve Carell Animated Movie HD,17763,1733,2146
4,Man of Steel,42666363,Man of Steel - Official Trailer 3 [HD],155232,6506,66556
5,Gravity,15718398,Gravity - Official Main Trailer [2K HD],32611,3677,13122
6,Monsters University,3373808,Monsters University NEW Trailer (2013) - Pixar Movie HD,8920,695,1290
7,The Hobbit: The Desolation of Smaug,6905674,The Hobbit: The Desolation of Smaug - HD Main Trailer - Official Warner Bros. UK,27078,824,4357
8,Fast & Furious 6,6977231,Faster Movie Trailer Official (HD),6139,337,1500
9,Oz The Great and Powerful,6844995,OZ THE GREAT AND POWERFUL | Full Trailer | Official Disney UK,11845,725,1409
10,American Sniper,18498239,American Sniper - Official Trailer [HD],34860,4258,9562
11,The Hunger Games: Mockingjay - Part 1,12166278,The Hunger Games: Mockingjay - Part 1 Official Trailer #1 (2014) - THG Movie HD,37702,1181,3754
12,Guardians of the Galaxy,5755711,Marvel's Guardians of the Galaxy - Trailer 1 (OFFICIAL),25313,874,2446
13,Captain America: The Winter Soldier,28179404,Marvel's Captain America: The Winter Soldier - Trailer 2 (OFFICIAL),79577,3214,9430
14,The LEGO Movie,32007281,The LEGO® Movie - Official Main Trailer [HD],104273,6849,14796
15,The Hobbit: The Battle of the Five Armies,21774336,The Hobbit: The Battle of the Five Armies - Official Main Trailer [HD],96232,2719,14078
16,Transformers: Age of Extinction,9866558,Transformers: Age of Extinction Official Trailer #1 (2014) - Michael Bay Movie HD,23768,1312,3770
17,Maleficent,18268900,Disney's Maleficent - Official Trailer 3,49978,2616,6189
18,X-Men: Days of Future Past,34737717,X-MEN: DAYS OF FUTURE PAST - Official Trailer (2014),129625,6252,28801
19,Big Hero 6,5312657,Big Hero 6 Official Trailer #1 (2014) - Disney Animation Movie HD,14856,629,1275
20,Star Wars: The Force Awakens,101335287,Star Wars: The Force Awakens Trailer (Official),710478,22153,126308
21,Jurassic World,49344097,Jurassic World: Fallen Kingdom - Official Trailer [HD],597261,31023,71525
22,Avengers: Age of Ultron,82736754,"Marvel's ""Avengers: Age of Ultron"" - Teaser Trailer (OFFICIAL)",551820,13050,79755
23,Inside Out,17520326,Inside Out Official Trailer #2 (2015) - Disney Pixar Movie HD,48132,2258,5044
24,Furious 7,69377205,Furious 7 - Official Trailer (HD),327059,9975,23452
25,Minions,28743113,Minions Official Trailer #1 (2015) - Despicable Me Prequel HD,75425,4283,3396
26,The Hunger Games: Mockingjay - Part 2,21710833,The Hunger Games: Mockingjay Part 2 Official Trailer – “We March Together”,138505,4004,12719
27,The Martian,15137039,The Martian | Official Trailer [HD] | 20th Century FOX,45625,1500,5175
28,Cinderella (2015),4631502,"Cinderella Official Trailer #1 (2015) - Helena Bonham Carter, Lily James Disney Movie HD",19725,706,1635
29,Spectre,14799173,007 Spectre Official Trailer #2 (2015) Daniel Craig James Bond Movie HD,31229,1497,3043
30,Rogue One: A Star Wars Story,37062630,Rogue One: A Star Wars Story Trailer (Official),296365,11858,60254
31,Finding Dory,4818444,"Finding Dory Official Trailer #2 (2016) - Ellen DeGeneres, Albert Brooks Movie HD",22457,777,1619
32,Captain America: Civil War,78295618,Marvel's Captain America: Civil War - Trailer 2,660949,14721,141470
33,The Secret Life of Pets,9434054,The Secret Life of Pets Official Trailer #1 (2016) Louis C.K. Animated Movie HD,24112,1410,2016
34,The Jungle Book (2016),13439916,The Jungle Book Official Trailer #1 (2016) Scarlett Johansson Live-Action Disney Movie HD,30038,1749,4064
35,Deadpool,30201169,Deadpool 2 | The Trailer,556253,13731,29256
36,Zootopia,6558378,Zootopia Official Sloth Trailer (2016) - Disney Animated Movie HD,33374,807,2058
37,Batman v Superman: Dawn of Justice,11713359,"Batman v Superman: Dawn of Justice Official Trailer #1 (2016) - Henry Cavill, Ben Affleck Movie HD",54050,2251,8135
38,Suicide Squad,12660622,"Suicide Squad Official Trailer #1 (2016) - Jared Leto, Margot Robbie Movie HD",90030,2294,8386
39,Sing,8821072,"Sing Official Trailer #1 (2016) - Scarlett Johansson, Matthew McConaughey Movie HD",41631,2392,5934
40,Star Wars: The Last Jedi,50055632,Star Wars: The Last Jedi Trailer (Official),757954,33023,103700
41,Beauty and the Beast (2017),36583191,Beauty and the Beast US Official Trailer,319644,11168,27163
42,Wonder Woman,16512825,WONDER WOMAN – Rise of the Warrior [Official Final Trailer],97809,4887,13987
43,Jumanji: Welcome to the Jungle,28550441,JUMANJI: WELCOME TO THE JUNGLE - Official Trailer (HD),161460,52071,23507
44,Guardians of the Galaxy Vol. 2,8396203,Guardians of the Galaxy Vol. 2 Official Trailer 1 (2017) - Chris Pratt Movie,67350,869,4358
45,Spider-Man: Homecoming,25862067,Spider-Man: Homecoming Trailer #1 (2017) | Movieclips Trailers,183610,10216,25385
46,It,11231504,It Trailer #1 (2017) | Movieclips Trailers,71352,3583,7261
47,Thor: Ragnarok,63511068,"""Thor: Ragnarok"" Official Trailer",664848,28801,62228
48,Despicable Me 3,35254808,Despicable Me 3 - Official Trailer - In Theaters Summer 2017 (HD),117002,9988,12954
49,Justice League,32512095,JUSTICE LEAGUE - Official Heroes Trailer,349667,21621,61914
