,level_0,Real Name,Tweets,Followers,Following,Favorites Count
0,0,Alfonso Cuaron,1124.0,54332.0,48.0,949.0
1,1,andrew stanton,5046.0,58290.0,579.0,4311.0
2,2,"Nan Palmero, MBA",67800.0,9525.0,6858.0,261.0
3,3,Russo Brothers,89.0,104373.0,17.0,0.0
4,4,Russo Brothers,89.0,104373.0,17.0,0.0
5,5,"Nan Palmero, MBA",67800.0,9525.0,6858.0,261.0
6,6,Byron Howard,2859.0,29023.0,470.0,13995.0
7,7,"Nan Palmero, MBA",67800.0,9525.0,6858.0,261.0
8,8,"Nan Palmero, MBA",67800.0,9525.0,6858.0,261.0
9,9,"Nan Palmero, MBA",67800.0,9525.0,6858.0,261.0
10,10,Colin Trevorrow,875.0,60054.0,180.0,664.0
11,11,Dan Scanlon,6139.0,8111.0,94.0,763.0
12,12,David Ayer,981.0,455201.0,228.0,1286.0
13,13,"Nan Palmero, MBA",67800.0,9525.0,6858.0,261.0
14,14,Francis Lawrence,245.0,42473.0,89.0,7.0
15,15,Francis Lawrence,245.0,42473.0,89.0,7.0
16,16,Francis Lawrence,245.0,42473.0,89.0,7.0
17,17,"Nan Palmero, MBA",67800.0,9525.0,6858.0,261.0
18,18,"Nan Palmero, MBA",67800.0,9525.0,6858.0,261.0
19,19,"Nan Palmero, MBA",67800.0,9525.0,6858.0,261.0
20,20,"Nan Palmero, MBA",67800.0,9525.0,6858.0,261.0
21,21,James Gunn,28886.0,424925.0,867.0,42998.0
22,22,James Gunn,28886.0,424925.0,867.0,42998.0
23,23,James Wan,3721.0,180238.0,136.0,4862.0
24,24,Jon Watts,249.0,21826.0,42.0,219.0
25,25,Joss Whedon,1722.0,226532.0,583.0,44107.0
26,26,Justin Lin,773.0,79846.0,164.0,423.0
27,27,"Nan Palmero, MBA",67800.0,9525.0,6858.0,261.0
28,28,"Nan Palmero, MBA",67800.0,9525.0,6858.0,261.0
29,29,Michael Bay,2533.0,92689.0,77.0,1.0
30,30,Patty Jenkins,1163.0,173487.0,430.0,2879.0
31,31,"Nan Palmero, MBA",67800.0,9525.0,6858.0,261.0
32,32,"Nan Palmero, MBA",67800.0,9525.0,6858.0,261.0
33,33,"Nan Palmero, MBA",67800.0,9525.0,6858.0,261.0
34,34,philip lord,6296.0,49223.0,2651.0,5768.0
35,35,"Nan Palmero, MBA",67800.0,9525.0,6858.0,261.0
36,36,Rian Johnson,2230.0,901944.0,946.0,15409.0
37,37,"Nan Palmero, MBA",67800.0,9525.0,6858.0,261.0
38,38,"Nan Palmero, MBA",67800.0,9525.0,6858.0,261.0
39,39,"Nan Palmero, MBA",67800.0,9525.0,6858.0,261.0
40,40,"Nan Palmero, MBA",67800.0,9525.0,6858.0,261.0
41,41,Shane Black,191.0,24608.0,15.0,21.0
42,42,Taika Waititi,4152.0,362928.0,621.0,6278.0
43,43,"Nan Palmero, MBA",67800.0,9525.0,6858.0,261.0
44,44,Zack Snyder,117.0,680710.0,18.0,1.0
45,45,Zack Snyder,117.0,680710.0,18.0,1.0
46,46,Zack Snyder,117.0,680710.0,18.0,1.0
47,47,"Nan Palmero, MBA",67800.0,9525.0,6858.0,261.0
48,48,"Nan Palmero, MBA",67800.0,9525.0,6858.0,261.0
49,49,"Nan Palmero, MBA",67800.0,9525.0,6858.0,261.0
